id;ANALFABETOS;ALFABETOS;PRIMARIA;NIVEL MEDIO;UNIVERSITARIOS;RAZA;SEXO
4844;1764;7209;2769;1972;2468;1;2
4845;1000;2261;771;1109;381;1;2
4846;1577;4607;1554;145;2908;1;2
4847;1747;4119;2583;435;1101;1;2
4848;1516;2612;1246;778;588;1;2
4849;2169;2346;1926;152;268;1;2
4850;1885;5812;2837;1828;1147;1;2
4851;1807;5747;2778;2106;863;1;2
4852;2170;1641;251;780;610;1;2
4853;359;1428;379;722;327;1;2
4854;1454;3389;1847;1454;88;1;2
4855;955;3022;465;2377;180;1;2
4856;1235;1933;672;128;1133;1;2
4857;2280;5639;1527;2011;2101;1;2
4858;1964;4252;1081;2790;381;1;2
4859;2017;5981;2343;1184;2454;1;2
4860;1484;8110;2351;2948;2811;1;2
4861;1245;6240;2561;1988;1691;1;2
4862;1373;4185;1651;2211;323;1;2
4863;1817;8544;2967;2706;2871;1;2
4864;2363;4165;2682;96;1387;1;2
4865;383;5524;2649;2015;860;1;2
4866;2218;3900;2740;927;233;1;2
4867;571;6357;2479;1746;2132;1;2
4868;2249;4651;2071;496;2084;1;2
4869;2011;5989;2839;2632;518;1;2
4870;1307;6812;2582;1612;2618;1;2
4871;570;4939;1907;1577;1455;1;2
4872;112;6897;2718;1288;2891;1;2
4873;2374;5132;1370;2970;792;1;2
4874;440;3331;1360;1542;429;1;2
4875;1166;5160;2348;724;2088;1;2
4876;2182;4031;2662;71;1298;1;2
4877;1767;3283;1435;1095;753;1;2
4878;1173;3747;2653;24;1070;1;2
4879;2931;5016;2049;2873;94;1;2
4880;1810;4215;1312;2769;134;1;2
4881;2907;3934;1703;1407;824;1;2
4882;2971;6868;1694;2865;2309;1;2
4883;1625;6678;2651;1521;2506;1;2
4884;1346;4688;1414;516;2758;1;2
4885;2609;4091;275;1267;2549;1;2
4886;2606;4481;2232;83;2166;1;2
4887;299;1427;949;332;146;1;2
4888;2768;6609;1825;2187;2597;1;2
4889;1471;5347;2869;577;1901;1;2
4890;1530;2924;1120;488;1316;1;2
4891;91;3920;593;1039;2288;1;2
4892;1731;3743;984;1206;1553;1;2
4893;572;5005;2712;1356;937;1;2
4894;871;1613;363;1106;144;1;2
4895;781;989;35;181;773;1;2
4896;2571;3083;591;2472;20;1;2
4897;2379;5031;2032;2818;181;1;2
4898;211;4713;1534;2199;980;1;2
4899;774;3830;1655;1238;937;1;2
4900;2311;6642;1613;2442;2587;1;2
4901;2820;5408;443;2114;2851;1;2
4902;869;4905;487;2159;2259;1;2
4903;1480;3515;202;327;2986;1;2
4904;2905;4459;1626;15;2818;1;2
4905;1778;4937;1512;604;2821;1;2
4906;770;4369;125;2859;1385;1;2
4907;690;2649;34;180;2435;1;2
4908;1384;5837;2384;2525;928;1;2
4909;315;4959;1153;2023;1783;1;2
4910;1154;3421;1966;529;926;1;2
4911;2258;4526;1660;1187;1679;1;2
4912;2014;5275;2699;325;2251;1;2
4913;2266;3250;112;1730;1408;1;2
4914;1664;4873;2127;720;2026;1;2
4915;1065;7803;2376;2922;2505;1;2
4916;469;6296;2842;1487;1967;1;2
4917;2565;3876;1902;1090;884;1;2
4918;127;4109;1808;64;2237;1;2
4919;344;4477;1624;2442;411;1;2
4920;2232;5112;294;1962;2856;1;2
4921;280;3357;1814;375;1168;1;2
4922;2878;7076;2667;2472;1937;1;2
4923;2841;3758;518;1426;1814;1;2
4924;665;3301;373;2534;394;1;2
4925;1160;5225;2987;801;1437;1;2
4926;457;6953;1788;2766;2399;1;2
4927;948;4449;1474;1641;1334;1;2
4928;1229;3141;1556;174;1411;1;2
4929;2284;1072;699;266;107;1;2
4930;305;5686;2041;2457;1188;1;2
4931;1676;6091;2074;1871;2146;1;2
4932;700;4104;1098;1959;1047;1;2
4933;2705;5173;1802;385;2986;1;2
4934;1065;4606;1162;555;2889;1;2
4935;930;4335;1493;588;2254;1;2
4936;2269;6615;2669;1698;2248;1;2
4937;499;6378;2463;1104;2811;1;2
4938;240;5796;2582;884;2330;1;2
4939;897;4276;991;1069;2216;1;2
4940;415;3245;213;1832;1200;1;2
4941;1336;2803;258;608;1937;1;2
4942;857;8177;2830;2756;2591;1;2
4943;1718;7157;2100;2468;2589;1;2
4944;2620;3705;2623;619;463;1;2
4945;79;6578;2159;1785;2634;1;2
4946;847;3721;156;2556;1009;1;2
4947;409;5312;1734;1914;1664;1;2
4948;674;5484;2341;1979;1164;1;2
4949;1208;4157;2691;1139;327;1;2
4950;1595;5734;2571;445;2718;1;2
4951;1263;2468;282;16;2170;1;2
4952;2366;2411;416;1224;771;1;2
4953;826;4701;1805;2044;852;1;2
4954;1519;3543;342;1077;2124;1;2
4955;731;4728;1425;2954;349;1;2
4956;936;4546;1584;2759;203;1;2
4957;2063;5083;2895;392;1796;1;2
4958;2683;5066;1499;2649;918;1;2
4959;191;6321;2699;2856;766;1;2
4960;305;7001;2045;2048;2908;1;2
4961;89;5141;1312;2047;1782;1;2
4962;203;4506;2263;773;1470;1;2
4963;1952;4631;1191;2433;1007;1;2
4964;820;5882;2792;1690;1400;1;2
4965;856;5468;2524;2915;29;1;2
4966;903;2353;455;1110;788;1;2
4967;1955;4085;1363;224;2498;1;2
4968;2577;7100;2597;2757;1746;1;2
4969;1737;6857;1168;2745;2944;1;2
4970;1706;4199;2974;1022;203;1;2
4971;1842;3495;1359;1064;1072;1;2
4972;1952;5346;1909;977;2460;1;2
4973;316;5243;2975;1549;719;1;2
4974;246;5074;2738;425;1911;1;2
4975;1334;2796;431;921;1444;1;2
4976;2574;3970;1218;1488;1264;1;2
4977;2744;3589;517;1582;1490;1;2
4978;2049;2295;928;1194;173;1;2
4979;458;3572;1373;419;1780;1;2
4980;2895;778;132;10;636;1;2
4981;798;4560;2252;1210;1098;1;2
4982;388;2410;445;1243;722;1;2
4983;2840;1644;60;339;1245;1;2
4984;1475;2493;900;1409;184;1;2
4985;2101;1731;221;1195;315;1;2
4986;2063;5610;1400;2026;2184;1;2
4987;1533;2913;394;86;2433;1;2
4988;972;2614;1536;915;163;1;2
4989;387;7996;2758;2673;2565;1;2
4990;723;5099;2033;947;2119;1;2
4991;1426;4241;2848;985;408;1;2
4992;1842;3172;597;267;2308;1;2
4993;1309;4347;2432;1623;292;1;2
4994;672;3601;1931;33;1637;1;2
4995;1771;4663;644;2768;1251;1;2
4996;1018;4706;1372;2101;1233;1;2
4997;407;6646;2415;2286;1945;1;2
4998;589;3330;1041;365;1924;1;2
4999;280;6590;2826;1746;2018;1;2
5000;2046;1619;257;830;532;1;2
5001;25;4347;2181;128;2038;1;2
5002;171;5937;938;2369;2630;1;2
5003;568;6234;2022;2795;1417;1;2
5004;2519;2465;329;2106;30;1;2
5005;1430;5019;1845;2442;732;1;2
5006;1412;6533;2831;1591;2111;1;2
5007;2970;5002;1963;866;2173;1;2
5008;2704;5669;2259;508;2902;1;2
5009;2479;3334;66;2129;1139;1;2
5010;1989;5298;1929;2809;560;1;2
5011;99;4797;330;2970;1497;1;2
5012;2160;3358;1868;623;867;1;2
5013;861;2066;1127;158;781;1;2
5014;116;5333;1310;2820;1203;1;2
5015;2754;4845;1913;799;2133;1;2
5016;786;4928;2527;525;1876;1;2
5017;2594;5038;1862;184;2992;1;2
5018;545;5294;2150;238;2906;1;2
5019;1308;3615;1863;1300;452;1;2
5020;1909;4872;1399;1797;1676;1;2
5021;2402;3025;968;1041;1016;1;2
5022;2231;3481;2269;1139;73;1;2
5023;2560;5376;1021;1520;2835;1;2
5024;1501;3088;1504;1203;381;1;2
5025;275;5942;1368;2056;2518;1;2
5026;1442;5696;1258;2572;1866;1;2
5027;1932;6528;2452;1345;2731;1;2
5028;1777;2082;1179;197;706;1;2
5029;2641;4774;1641;2487;646;1;2
5030;482;6710;2310;2662;1738;1;2
5031;1096;6633;2543;1521;2569;1;2
5032;679;6720;2703;1824;2193;1;2
5033;1358;3747;994;313;2440;1;2
5034;512;5228;1885;778;2565;1;2
5035;1639;3942;1477;2315;150;1;2
5036;2228;2997;2425;354;218;1;2
5037;2868;3477;677;1027;1773;1;2
5038;2191;3029;1651;934;444;1;2
5039;2824;6134;975;2607;2552;1;2
5040;559;4845;596;1494;2755;1;2
5041;2040;3499;1295;1174;1030;1;2
5042;2161;4736;1336;1575;1825;1;2
5043;547;3176;2084;477;615;1;2
5044;2707;4199;1088;1495;1616;1;2
5045;91;2624;410;233;1981;1;2
5046;2111;3789;627;2579;583;1;2
5047;2796;6360;1832;1752;2776;1;2
5048;2044;4435;1599;786;2050;1;2
5049;263;3816;130;2102;1584;1;2
5050;1115;5011;458;1573;2980;1;2
5051;2886;4468;2838;1484;146;1;2
5052;2319;7470;2681;2157;2632;1;2
5053;50;5885;2953;1835;1097;1;2
5054;747;6816;2735;1501;2580;1;2
5055;62;3290;19;1107;2164;1;2
5056;2061;4425;992;963;2470;1;2
5057;1859;5072;2047;943;2082;1;2
5058;1732;5641;2532;126;2983;1;2
5059;318;2945;218;2279;448;1;2
5060;1225;5484;984;2699;1801;1;2
5061;1349;2037;72;94;1871;1;2
5062;2120;4791;621;2460;1710;1;2
5063;2981;5112;1798;1904;1410;1;2
5064;2826;3913;2511;1391;11;1;2
5065;2620;5325;675;2743;1907;1;2
5066;484;811;164;520;127;1;2
5067;2547;5001;2061;2924;16;1;2
5068;1156;2390;1283;860;247;1;2
5069;2998;4770;1325;540;2905;1;2
5070;2719;7370;1853;2789;2728;1;2
5071;655;5434;2786;2019;629;1;2
5072;2538;552;355;183;14;1;2
5073;2830;3170;399;286;2485;1;2
5074;1859;5200;779;1970;2451;1;2
5075;298;5000;1032;2955;1013;1;2
5076;1684;6075;2702;2751;622;1;2
5077;1206;2415;60;1846;509;1;2
5078;1837;1527;515;268;744;1;2
5079;1122;4047;2936;385;726;1;2
5080;2216;5931;1392;2699;1840;1;2
5081;2123;4027;1056;319;2652;1;2
5082;1746;5900;2759;601;2540;1;2
5083;1652;6778;907;2872;2999;1;2
5084;670;5614;1603;2693;1318;1;2
5085;2843;4442;2892;353;1197;1;2
5086;1994;6040;2826;1372;1842;1;2
5087;1273;4596;1757;2682;157;1;2
5088;595;5225;1224;1003;2998;1;2
5089;1757;4318;323;2642;1353;1;2
5090;288;6283;1881;1470;2932;1;2
5091;892;4092;2315;1136;641;1;2
5092;1795;2676;1330;1020;326;1;2
5093;2863;3569;2202;985;382;1;2
5094;725;3381;996;1092;1293;1;2
5095;489;6927;2328;1682;2917;1;2
5096;1500;4411;1416;2041;954;1;2
5097;2547;6097;958;2863;2276;1;2
5098;1062;2404;289;361;1754;1;2
5099;1088;4622;623;1902;2097;1;2
5100;1392;5404;1405;2835;1164;1;2
5101;2250;2404;2323;40;41;1;2
5102;120;5117;889;1401;2827;1;2
5103;1763;3993;2885;82;1026;1;2
5104;850;5178;2916;558;1704;1;2
5105;147;5209;1528;2323;1358;1;2
5106;2436;6977;2399;2954;1624;1;2
5107;2267;2499;1907;103;489;1;2
5108;1533;2346;1233;289;824;1;2
5109;2642;6321;2694;2430;1197;1;2
5110;814;4013;173;2185;1655;1;2
5111;1539;3965;541;897;2527;1;2
5112;2376;4143;818;453;2872;1;2
5113;2117;4731;2572;214;1945;1;2
5114;690;2986;2;616;2368;1;2
5115;2407;5131;1471;1785;1875;1;2
5116;1632;5379;2996;1628;755;1;2
5117;2874;5508;1637;1041;2830;1;2
5118;354;3202;992;2020;190;1;2
5119;2385;5756;419;2434;2903;1;2
5120;33;5583;2090;612;2881;1;2
5121;1641;4249;1733;2223;293;1;2
5122;1036;6578;1557;2571;2450;1;2
5123;1799;4731;528;1249;2954;1;2
5124;1501;2768;2101;138;529;1;2
5125;891;3715;41;1876;1798;1;2
5126;762;1133;198;710;225;1;2
5127;1512;3155;301;1375;1479;1;2
5128;1944;3039;1421;256;1362;1;2
5129;251;5324;2330;2667;327;1;2
5130;1372;3723;1371;1938;414;1;2
5131;740;5493;2423;701;2369;1;2
5132;1352;6774;2300;2401;2073;1;2
5133;1219;3173;1820;1182;171;1;2
5134;1317;5434;1532;2605;1297;1;2
5135;651;4564;1862;934;1768;1;2
5136;916;2963;1335;817;811;1;2
5137;967;6368;2278;1158;2932;1;2
5138;2926;4172;1507;833;1832;1;2
5139;1579;3444;134;914;2396;1;2
5140;2157;5379;1667;2913;799;1;2
5141;1379;4352;901;1242;2209;1;2
5142;168;3740;2602;136;1002;1;2
5143;2490;6183;1703;1844;2636;1;2
5144;217;6600;1914;2262;2424;1;2
5145;1059;5030;1893;1627;1510;1;2
5146;847;6394;1080;2681;2633;1;2
5147;298;3894;659;1963;1272;1;2
5148;1342;4996;1896;1055;2045;1;2
5149;2397;6744;1732;2027;2985;1;2
5150;1500;2319;427;1779;113;1;2
5151;1161;4638;1781;541;2316;1;2
5152;748;6952;2602;2780;1570;1;2
5153;2170;5991;2384;1439;2168;1;2
5154;1338;3484;626;312;2546;1;2
5155;1751;5118;893;2432;1793;1;2
5156;1841;4037;507;2148;1382;1;2
5157;234;2212;2007;103;102;1;2
5158;2882;2277;662;1233;382;1;2
5159;2130;2596;1414;1104;78;1;2
5160;1473;4574;1000;2609;965;1;2
5161;591;5730;2528;561;2641;1;2
5162;2469;7243;2260;2652;2331;1;2
5163;2275;2358;1215;554;589;1;2
5164;1016;6210;1700;2029;2481;1;2
5165;946;4773;2713;1325;735;1;2
5166;9;5601;2449;543;2609;1;2
5167;277;4822;1819;2187;816;1;2
5168;328;3351;2310;373;668;1;2
5169;2788;3306;142;707;2457;1;2
5170;1011;5937;2368;1589;1980;1;2
5171;1282;4941;1557;2566;818;1;2
5172;18;4986;739;2087;2160;1;2
5173;2678;3211;1803;826;582;1;2
5174;2825;4503;1724;1270;1509;1;2
5175;941;897;112;646;139;1;2
5176;2594;4863;170;2498;2195;1;2
5177;520;5094;2137;2119;838;1;2
5178;2863;5276;2621;895;1760;1;2
5179;2819;5336;2392;665;2279;1;2
5180;1176;2321;571;715;1035;1;2
5181;218;5639;473;2793;2373;1;2
5182;2055;5098;1925;1451;1722;1;2
5183;2105;3008;745;1607;656;1;2
5184;209;4469;299;2862;1308;1;2
5185;2852;2647;910;1392;345;1;2
5186;699;4415;1362;723;2330;1;2
5187;2648;5441;2907;1866;668;1;2
5188;1643;5375;2522;1381;1472;1;2
5189;1097;4264;1113;2112;1039;1;2
5190;2014;4421;53;1668;2700;1;2
5191;1645;3707;2732;651;324;1;2
5192;60;2044;857;437;750;1;2
5193;2367;4032;651;2452;929;1;2
5194;658;1749;1183;410;156;1;2
5195;2627;4237;1963;707;1567;1;2
5196;1460;3716;1757;850;1109;1;2
5197;49;3650;1001;1688;961;1;2
5198;2221;5354;138;2638;2578;1;2
5199;2445;2097;944;1114;39;1;2
5200;2136;6979;2422;2678;1879;1;2
5201;1925;5295;2081;448;2766;1;2
5202;1364;4037;756;2890;391;1;2
5203;1227;7387;1664;2842;2881;1;2
5204;2029;6937;1941;2078;2918;1;2
5205;1977;3517;1210;803;1504;1;2
5206;713;3604;2060;232;1312;1;2
5207;2892;7269;2940;2926;1403;1;2
5208;1731;5365;2294;1140;1931;1;2
5209;1366;6837;2903;2825;1109;1;2
5210;2277;5667;1884;2723;1060;1;2
5211;1177;4725;245;2343;2137;1;2
5212;1232;6725;2981;1788;1956;1;2
5213;1306;2687;350;746;1591;1;2
5214;500;2072;54;769;1249;1;2
5215;1811;2866;1240;1409;217;1;2
5216;1055;5171;1007;2998;1166;1;2
5217;2065;4513;2527;1344;642;1;2
5218;1863;6307;2235;2453;1619;1;2
5219;1515;4673;502;1284;2887;1;2
5220;922;2872;2259;109;504;1;2
5221;2257;4740;1745;1125;1870;1;2
5222;2923;6061;278;2888;2895;1;2
5223;323;5870;2935;122;2813;1;2
5224;341;3092;1444;840;808;1;2
5225;2999;4762;362;1873;2527;1;2
5226;2823;5232;2968;1906;358;1;2
5227;947;3266;710;1019;1537;1;2
5228;431;6208;2002;1741;2465;1;2
5229;357;2139;733;816;590;1;2
5230;1006;1712;1234;444;34;1;2
5231;1234;5932;1018;1919;2995;1;2
5232;2806;5164;2197;2482;485;1;2
5233;513;4331;2273;1929;129;1;2
5234;661;3362;828;718;1816;1;2
5235;1206;4964;1480;2589;895;1;2
5236;2247;3617;511;2229;877;1;2
5237;1474;4728;1779;1770;1179;1;2
5238;206;3214;581;2221;412;1;2
5239;2484;8024;2958;2713;2353;1;2
5240;736;4928;303;2894;1731;1;2
5241;542;5901;2200;1787;1914;1;2
5242;1940;4437;2654;875;908;1;2
5243;1611;5602;2787;1828;987;1;2
5244;930;4809;1348;2868;593;1;2
5245;2436;2590;1706;407;477;1;2
5246;160;4810;34;2643;2133;1;2
5247;2520;4796;323;2502;1971;1;2
5248;1667;3767;856;801;2110;1;2
5249;2733;3964;872;1331;1761;1;2
5250;1606;6141;2681;982;2478;1;2
5251;1522;5635;739;2098;2798;1;2
5252;1179;2095;1369;47;679;1;2
5253;1216;4768;1659;218;2891;1;2
5254;99;5641;2036;930;2675;1;2
5255;2926;4849;1183;2207;1459;1;2
5256;573;2538;268;598;1672;1;2
5257;1896;3527;1622;809;1096;1;2
5258;2912;7070;2639;2879;1552;1;2
5259;1690;4279;2477;1176;626;1;2
5260;1566;5522;1461;2353;1708;1;2
5261;2233;4156;919;1297;1940;1;2
5262;1950;4788;1497;539;2752;1;2
5263;1120;2729;314;1524;891;1;2
5264;2663;5480;2399;1468;1613;1;2
5265;1121;4198;1052;369;2777;1;2
5266;586;7229;2975;1340;2914;1;2
5267;1804;4148;1017;178;2953;1;2
5268;2202;5436;1673;2126;1637;1;2
5269;1641;3494;1017;2158;319;1;2
5270;1470;2332;408;1673;251;1;2
5271;2288;7277;2984;2794;1499;1;2
5272;652;4478;1200;1098;2180;1;2
5273;302;6250;1922;1419;2909;1;2
5274;623;3299;378;2092;829;1;2
5275;1;4127;1148;1544;1435;1;2
5276;1260;5249;1136;1626;2487;1;2
5277;2104;2093;999;790;304;1;2
5278;1900;5149;2820;657;1672;1;2
5279;2172;2965;1122;88;1755;1;2
5280;1643;4858;1304;1564;1990;1;2
5281;1042;5749;2742;2664;343;1;2
5282;500;3161;1756;22;1383;1;2
5283;553;2301;363;1919;19;1;2
5284;2048;5300;1388;2735;1177;1;2
5285;647;5822;584;2984;2254;1;2
5286;2427;4374;565;2492;1317;1;2
5287;617;3641;752;1609;1280;1;2
5288;14;4489;678;1386;2425;1;2
5289;2853;1642;28;938;676;1;2
5290;480;5067;2180;2319;568;1;2
5291;2015;4411;1574;981;1856;1;2
5292;2983;8385;2856;2917;2612;1;2
5293;1820;3699;224;525;2950;1;2
5294;1602;1543;493;812;238;1;2
5295;2310;3379;2853;524;2;1;2
5296;2843;5361;2761;999;1601;1;2
5297;894;2651;932;323;1396;1;2
5298;1948;2547;33;1089;1425;1;2
5299;368;7835;2646;2772;2417;1;2
5300;1297;5909;2726;2281;902;1;2
5301;2450;4579;1602;462;2515;1;2
5302;1044;4700;668;1864;2168;1;2
5303;1923;5655;2972;2323;360;1;2
5304;1198;4008;2258;137;1613;1;2
5305;2950;6011;2305;1736;1970;1;2
5306;766;5189;2234;1523;1432;1;2
5307;1256;4662;2483;2170;9;1;2
5308;1190;5464;2381;886;2197;1;2
5309;882;3487;1592;1501;394;1;2
5310;135;2509;291;1038;1180;1;2
5311;151;5570;201;2983;2386;1;2
5312;898;4175;2835;467;873;1;2
5313;2004;3243;1313;1328;602;1;2
5314;983;1010;293;320;397;1;2
5315;1298;6210;2625;1111;2474;1;2
5316;1929;2495;613;52;1830;1;2
5317;1574;2391;892;96;1403;1;2
5318;880;3034;1463;1221;350;1;2
5319;1509;3991;1277;865;1849;1;2
5320;1818;5747;894;2161;2692;1;2
5321;1024;2134;422;595;1117;1;2
5322;218;5916;1347;2072;2497;1;2
5323;2092;6482;2730;1187;2565;1;2
5324;56;637;295;194;148;1;2
5325;2122;1817;1064;456;297;1;2
5326;1526;2201;1386;159;656;1;2
5327;2073;7495;2529;2199;2767;1;2
5328;852;6669;2767;2986;916;1;2
5329;98;5537;2280;2542;715;1;2
5330;1373;5857;2282;1563;2012;1;2
5331;990;3039;1469;1385;185;1;2
5332;280;3156;973;440;1743;1;2
5333;2682;5429;141;2520;2768;1;2
5334;2866;2800;1264;516;1020;1;2
5335;119;3937;976;2916;45;1;2
5336;1306;5345;1444;2142;1759;1;2
5337;1787;5614;2472;2633;509;1;2
5338;1579;6407;2554;2848;1005;1;2
5339;1938;4559;2405;1839;315;1;2
5340;1205;3164;2368;64;732;1;2
5341;362;2736;971;1693;72;1;2
5342;2087;5212;98;2304;2810;1;2
5343;143;4645;911;2114;1620;1;2
5344;1928;5158;2148;2390;620;1;2
5345;1255;3094;727;625;1742;1;2
5346;358;2316;998;1182;136;1;2
5347;858;3763;871;2670;222;1;2
5348;2326;2902;1682;485;735;1;2
5349;1458;6263;2887;1245;2131;1;2
5350;145;6489;2124;2423;1942;1;2
5351;1927;6671;2825;2919;927;1;2
5352;2088;4724;984;2443;1297;1;2
5353;2549;3971;2463;105;1403;1;2
5354;2876;3278;113;2914;251;1;2
5355;2814;5838;2869;2933;36;1;2
5356;55;3178;282;237;2659;1;2
5357;503;5573;1872;958;2743;1;2
5358;2747;6129;2141;1133;2855;1;2
5359;2881;4841;1166;1186;2489;1;2
5360;2009;4902;2675;1904;323;1;2
5361;1599;3648;167;1705;1776;1;2
5362;1611;5266;1811;895;2560;1;2
5363;1936;6823;1670;2970;2183;1;2
5364;226;3051;1953;769;329;1;2
5365;697;5687;535;2208;2944;1;2
5366;1502;1597;981;275;341;1;2
5367;2821;2979;1466;831;682;1;2
5368;2445;5783;2767;1159;1857;1;2
5369;2997;5234;2085;2631;518;1;2
5370;645;3511;47;1588;1876;1;2
5371;410;5395;726;2698;1971;1;2
5372;1255;3463;1312;1232;919;1;2
5373;343;4544;1675;2188;681;1;2
5374;70;3940;959;687;2294;1;2
5375;1818;4124;984;2204;936;1;2
5376;985;3090;1299;153;1638;1;2
5377;717;6281;2819;573;2889;1;2
5378;558;4253;1362;661;2230;1;2
5379;133;6864;1948;2584;2332;1;2
5380;856;5391;2959;986;1446;1;2
5381;810;4099;2523;859;717;1;2
5382;2249;3465;1708;1213;544;1;2
5383;1123;2289;784;182;1323;1;2
5384;593;3982;457;1418;2107;1;2
5385;776;4339;857;1994;1488;1;2
5386;2851;8343;2861;2813;2669;1;2
5387;2804;4552;776;2949;827;1;2
5388;491;4909;969;1528;2412;1;2
5389;394;4627;451;2937;1239;1;2
5390;947;2150;1232;906;12;1;2
5391;2525;5563;145;2652;2766;1;2
5392;1135;6982;2150;2025;2807;1;2
5393;2270;2501;1436;911;154;1;2
5394;2733;3163;1197;429;1537;1;2
5395;2654;4805;687;2867;1251;1;2
5396;653;5207;2378;168;2661;1;2
5397;1829;3812;1293;1387;1132;1;2
5398;1608;2959;2121;75;763;1;2
5399;2052;3675;2593;455;627;1;2
5400;1612;6912;2977;2690;1245;1;2
5401;779;6918;1923;2412;2583;1;2
5402;400;4891;689;1488;2714;1;2
5403;1885;2059;215;1195;649;1;2
5404;1353;3675;261;1117;2297;1;2
5405;2447;3092;547;1355;1190;1;2
5406;2073;4732;2895;806;1031;1;2
5407;2109;4372;756;1198;2418;1;2
5408;1679;3566;72;556;2938;1;2
5409;2426;6456;2645;1381;2430;1;2
5410;399;5913;1129;1933;2851;1;2
5411;1690;7762;2988;2489;2285;1;2
5412;1093;3140;172;2205;763;1;2
5413;644;4360;2401;1655;304;1;2
5414;1104;2233;85;469;1679;1;2
5415;1859;4989;2504;2365;120;1;2
5416;349;7082;2560;1832;2690;1;2
5417;1898;8470;2950;2960;2560;1;2
5418;1500;3309;1148;2042;119;1;2
5419;1909;6807;2459;2880;1468;1;2
5420;233;7008;2577;2095;2336;1;2
5421;1383;5092;1280;2825;987;1;2
5422;1508;7827;2597;2717;2513;1;2
5423;363;5278;2829;2082;367;1;2
5424;2544;6753;2757;2727;1269;1;2
5425;2102;7316;2529;2675;2112;1;2
5426;458;7227;1524;2794;2909;1;2
5427;1922;5357;856;1592;2909;1;2
5428;650;5625;1635;2051;1939;1;2
5429;227;4793;379;2967;1447;1;2
5430;186;5343;1688;2100;1555;1;2
5431;2067;5196;428;2492;2276;1;2
5432;2525;2033;94;141;1798;1;2
5433;230;4696;1233;1042;2421;1;2
5434;944;3532;203;2553;776;1;2
5435;2755;2982;972;128;1882;1;2
5436;612;3787;1178;1132;1477;1;2
5437;1696;2998;379;136;2483;1;2
5438;2181;6714;1956;2201;2557;1;2
5439;1427;4531;912;1140;2479;1;2
5440;80;4013;812;1576;1625;1;2
5441;2908;4353;1437;2376;540;1;2
5442;2152;2816;404;80;2332;1;2
5443;210;4452;2405;340;1707;1;2
5444;1163;4925;2563;860;1502;1;2
5445;2391;3683;426;564;2693;1;2
5446;143;2529;1676;450;403;1;2
5447;2893;3650;624;2356;670;1;2
5448;871;3230;180;1599;1451;1;2
5449;450;4868;794;2117;1957;1;2
5450;692;5504;768;2225;2511;1;2
5451;1959;5915;1989;2879;1047;1;2
5452;1799;4112;2294;813;1005;1;2
5453;2420;4095;55;1769;2271;1;2
5454;1129;3922;31;1346;2545;1;2
5455;861;3699;2636;767;296;1;2
5456;702;3323;2126;518;679;1;2
5457;1295;5223;1270;2332;1621;1;2
5458;2011;6874;2237;1783;2854;1;2
5459;912;5483;795;2535;2153;1;2
5460;703;5972;2246;2988;738;1;2
5461;5;2223;1248;814;161;1;2
5462;1290;3232;2316;255;661;1;2
5463;234;6298;748;2573;2977;1;2
5464;463;4321;2278;206;1837;1;2
5465;1127;3185;316;1377;1492;1;2
5466;478;6320;2585;2494;1241;1;2
5467;2382;3372;47;2266;1059;1;2
5468;2715;3128;142;1249;1737;1;2
5469;2786;2967;1291;606;1070;1;2
5470;2146;5037;2482;1286;1269;1;2
5471;1531;5983;2241;1591;2151;1;2
5472;1489;6899;1325;2630;2944;1;2
5473;868;3116;2018;205;893;1;2
5474;1786;5809;2722;1578;1509;1;2
5475;2988;5142;1789;1789;1564;1;2
5476;995;3075;96;1565;1414;1;2
5477;1987;8339;2896;2493;2950;1;2
5478;1873;7967;2730;2686;2551;1;2
5479;100;4443;1229;2431;783;1;2
5480;2749;2296;620;1232;444;1;2
5481;1735;2286;171;1758;357;1;2
5482;1246;5272;416;2036;2820;1;2
5483;2834;6477;2247;2812;1418;1;2
5484;967;2613;387;252;1974;1;2
5485;1145;3376;392;746;2238;1;2
5486;111;5153;960;1483;2710;1;2
5487;2194;1858;460;586;812;1;2
5488;2686;4320;1227;2585;508;1;2
5489;2666;3795;890;1364;1541;1;2
5490;1864;5820;2187;2147;1486;1;2
5491;1832;4323;2851;146;1326;1;2
5492;2311;5241;1409;1107;2725;1;2
5493;840;3344;1585;705;1054;1;2
5494;611;6124;2084;2195;1845;1;2
5495;1574;5100;719;2696;1685;1;2
5496;1085;3671;1336;1771;564;1;2
5497;2298;6074;1441;2254;2379;1;2
5498;2932;3084;365;2529;190;1;2
5499;1111;2897;407;862;1628;1;2
5500;1610;5477;1972;2566;939;1;2
5501;878;2358;622;1564;172;1;2
5502;200;4466;2148;1155;1163;1;2
5503;66;3752;1274;583;1895;1;2
5504;1385;3831;743;1177;1911;1;2
5505;2310;2494;1784;63;647;1;2
5506;2189;7863;2756;2712;2395;1;2
5507;77;3999;1597;1998;404;1;2
5508;1179;6493;2437;1800;2256;1;2
5509;1205;3581;216;1841;1524;1;2
5510;188;4750;1824;328;2598;1;2
5511;1019;3581;2717;728;136;1;2
5512;2537;3812;550;2114;1148;1;2
5513;1335;3492;1685;1397;410;1;2
5514;860;1996;622;1260;114;1;2
5515;2962;3256;1889;1055;312;1;2
5516;1027;3241;1782;1337;122;1;2
5517;947;3603;48;1507;2048;1;2
5518;2211;4197;1966;2209;22;1;2
